artist,song,acousticness,speechiness,danceability
Avant,Read Your Mind,0.291,0.0711,0.755
Eminem,Just Lose It,0.0581,0.0467,0.94
Sugababes,Too Lost In You,0.0485,0.0287,0.586
Snoop Dogg,Drop It Like It's Hot,0.169,0.216,0.892
Sean Paul,I'm Still in Love with You (feat. Sasha),0.102,0.172,0.765
The Shapeshifters,Lola's Theme - Radio Edit,0.00083,0.0536,0.748
D12,How Come,0.28,0.237,0.745
Basement Jaxx,Good Luck,0.0649,0.162,0.571
Kevin Lyttle,Turn Me On,0.0405,0.0361,0.677
Chingy,One Call Away,0.0918,0.183,0.765
T.I.,Bring Em Out,0.0298,0.257,0.759
DJ Casper,Cha Cha Slide - Hardino Mix,0.0436,0.125,0.853
