artist,song,acousticness,speechiness,danceability
One Direction,Best Song Ever,0.0227,0.0465,0.652
Nelly,Hey Porsche,0.136,0.029,0.726
Zedd,Clarity,0.0366,0.0753,0.523
Miley Cyrus,Wrecking Ball,0.407,0.0342,0.53
Chris Brown,Fine China,0.0466,0.056,0.659
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),0.0839,0.057,0.832
Armin van Buuren,This Is What It Feels Like,0.0391,0.03,0.551
Justin Timberlake,Mirrors,0.234,0.0503,0.574
Bruno Mars,Treasure,0.0412,0.0431,0.874
Of Monsters and Men,Little Talks,0.0206,0.032,0.457
Miley Cyrus,We Can't Stop,0.00882,0.0334,0.613
J. Cole,Power Trip (feat. Miguel),0.322,0.217,0.667
Paramore,Still into You,0.0098,0.044,0.602
Christina Perri,human,0.132,0.0368,0.439
Drake,"Hold On, We're Going Home",0.00411,0.0961,0.773
James Blunt,Bonfire Heart,0.181,0.0527,0.575
Maroon 5,Daylight,0.00242,0.0269,0.656
Childish Gambino,3005,0.128,0.289,0.681
Avril Lavigne,Here's to Never Growing Up,0.015,0.101,0.483
Taylor Swift,22,0.00215,0.0376,0.661
Passenger,Let Her Go,0.385,0.0572,0.509
Ariana Grande,The Way,0.294,0.113,0.645
Rihanna,Stay,0.945,0.0283,0.621
Justin Timberlake,Suit & Tie (feat. Jay-Z),0.103,0.219,0.795
Bruno Mars,When I Was Your Man,0.932,0.0434,0.612
Florida Georgia Line,Cruise,0.0191,0.0354,0.457
Pharrell Williams,"Happy - From ""Despicable Me 2""",0.219,0.183,0.647
Katy Perry,Dark Horse,0.00314,0.0512,0.647
ScHoolboy Q,Collard Greens,0.0239,0.064,0.826
Iggy Azalea,Fancy,0.0904,0.0697,0.912
Maroon 5,Animals,0.000185,0.0898,0.279
Sam Smith,Stay With Me,0.588,0.0414,0.418
MAGIC!,Rude,0.0422,0.0381,0.773
Sia,Chandelier,0.0197,0.0499,0.399
John Legend,All of Me,0.922,0.0322,0.422
ZHU,Faded,0.00865,0.0487,0.861
Meghan Trainor,All About That Bass,0.0573,0.0503,0.807
David Guetta,Lovers on the Sun (feat. Sam Martin),0.0932,0.0387,0.645
Iggy Azalea,Black Widow,0.192,0.124,0.743
Tove Lo,Habits (Stay High),0.0703,0.0315,0.733
Oliver Heldens,Gecko (Overdrive) - Radio Edit,0.00521,0.0642,0.609
DJ Snake,You Know You Like It,0.0141,0.188,0.407
Jason Derulo,Talk Dirty (feat. 2 Chainz),0.0348,0.232,0.76
Maroon 5,Maps,0.0179,0.0295,0.737
David Guetta,Bad (feat. Vassy) - Radio Edit,0.00125,0.088,0.614
Tinashe,2 On (feat. ScHoolboy Q),0.15,0.107,0.742
Route 94,My Love (feat. Jess Glynne),0.000132,0.0492,0.814
Taylor Swift,Bad Blood,0.0885,0.19,0.646
Trey Songz,Na Na,0.328,0.0406,0.67
Calvin Harris,Under Control (feat. Hurts),0.129,0.0841,0.544
O.T. Genasis,CoCo,0.00215,0.131,0.886
Jason Derulo,Wiggle (feat. Snoop Dogg),0.0802,0.25,0.697
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit,0.0219,0.0258,0.76
Jeremih,Don't Tell 'Em,0.392,0.0997,0.856
Nicki Minaj,Anaconda,0.0668,0.179,0.964
Calvin Harris,Blame (feat. John Newman),0.0287,0.0808,0.414
DJ Snake,Turn Down for What,0.00107,0.156,0.818
Pitbull,Timber (feat. Ke$ha),0.0295,0.0981,0.581
OneRepublic,Counting Stars,0.0654,0.0385,0.663
Bobby Shmurda,Hot N*gga,0.0505,0.42,0.794
Calvin Harris,Summer,0.0215,0.0325,0.603
ScHoolboy Q,Man Of The Year,0.00518,0.0428,0.743
Nico & Vinz,Am I Wrong,0.175,0.0312,0.729
Becky G,Shower,0.0317,0.0487,0.699
Sigma,Nobody To Love - Radio Edit,0.000526,0.0436,0.441
The Chainsmokers,#SELFIE - Original Mix,0.0135,0.248,0.789
Lorde,Team,0.167,0.0929,0.69
Rixton,Me And My Broken Heart,0.00489,0.0345,0.545
Klingande,Jubel - Radio Edit,0.649,0.0343,0.686
Mr. Probz,Waves - Robin Schulz Radio Edit,0.00821,0.0369,0.829
Paloma Faith,Only Love Can Hurt Like This,0.0958,0.0818,0.566
Kiesza,Hideaway,0.0862,0.0483,0.838
Ellie Goulding,Burn,0.31,0.0432,0.559
Ariana Grande,Break Free,0.0064,0.0455,0.687
Kid Ink,Show Me (feat. Chris Brown),0.0355,0.0502,0.711
Tove Lo,Talking Body,0.0966,0.0338,0.736
Chris Brown,Loyal (feat. Lil Wayne & Tyga),0.0168,0.049,0.841
OneRepublic,Love Runs Out,0.167,0.0589,0.719
Olly Murs,Up (feat. Demi Lovato),0.0193,0.0339,0.69
Peking Duk,High (feat. Nicole Millar),0.00129,0.0492,0.525
Milky Chance,Stolen Dance,0.427,0.0378,0.885
Ed Sheeran,Don't,0.0113,0.0659,0.806
Ariana Grande,Love Me Harder,0.00937,0.0334,0.472
Enrique Iglesias,Bailando - Spanish Version,0.0467,0.105,0.718
Avicii,Hey Brother,0.0309,0.0436,0.545
Jessie J,Bang Bang,0.26,0.091,0.706
Duke Dumont,I Got U,0.00377,0.035,0.636
Gorgon City,Ready For Your Love,0.0531,0.154,0.677
Taylor Swift,Style,0.00245,0.0402,0.588
MKTO,Classic,0.0384,0.124,0.72
Disclosure,Latch,0.0159,0.167,0.503
Ariana Grande,Problem,0.0192,0.153,0.66
Charli XCX,Boom Clap,0.154,0.0786,0.659
One Direction,Steal My Girl,0.00433,0.0347,0.536
Tiësto,Red Lights,0.000739,0.0377,0.653
Selena Gomez,The Heart Wants What It Wants,0.053,0.0377,0.616
Rita Ora,I Will Never Let You Down,0.403,0.0296,0.753
5 Seconds of Summer,She Looks So Perfect,0.000569,0.132,0.494
The Script,Superheroes,0.00218,0.0396,0.49
Taylor Swift,Shake It Off,0.0647,0.165,0.647
One Direction,Night Changes,0.859,0.0353,0.672
Ed Sheeran,Sing,0.304,0.0472,0.818
Alesso,Heroes (we could be),0.0373,0.0634,0.521
Tiësto,Wasted,0.00106,0.0294,0.645
G.R.L.,Ugly Heart,0.019,0.0463,0.65
Coldplay,A Sky Full of Stars,0.00617,0.0279,0.545
Clean Bandit,Rather Be (feat. Jess Glynne),0.162,0.0377,0.799
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,0.109,0.0411,0.596
Sia,Elastic Heart,0.0117,0.0496,0.421
One Direction,Story of My Life,0.225,0.0477,0.6
Alex & Sierra,Little Do You Know,0.746,0.0323,0.5
Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),0.0697,0.0432,0.733
Echosmith,Cool Kids,0.0372,0.0336,0.719
Natalie La Rose,Somebody,0.000792,0.0376,0.83
Vance Joy,Riptide,0.431,0.0379,0.484
Beyoncé,Drunk in Love (feat. Jay-Z),0.00969,0.0468,0.589
Maroon 5,Sugar,0.0553,0.0337,0.744
Ella Henderson,Ghost,0.0457,0.0414,0.68
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",0.559,0.0397,0.581
Chris Brown,New Flame (feat. Usher & Rick Ross),0.0506,0.041,0.702
Sheppard,Geronimo,0.434,0.0783,0.707
Olly Murs,Wrapped Up (feat. Travie McCoy),0.0915,0.0549,0.787
Sam Smith,Money On My Mind,0.204,0.179,0.688
Jason Derulo,Trumpets,0.563,0.236,0.627
Nicki Minaj,Bed Of Lies,0.251,0.194,0.716
Nick Jonas,Jealous - Remix,0.0132,0.0748,0.685
Mark Ronson,Uptown Funk (feat. Bruno Mars),0.00801,0.0824,0.856
Ed Sheeran,Thinking out Loud,0.474,0.0295,0.781
Wiz Khalifa,See You Again (feat. Charlie Puth),0.369,0.0815,0.689
Justin Bieber,What Do You Mean?,0.59,0.0956,0.845
Major Lazer,Lean On (feat. MØ & DJ Snake),0.00346,0.0625,0.723
The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",0.385,0.0304,0.659
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.247,0.0484,0.262
Calvin Harris,Outside (feat. Ellie Goulding),0.213,0.0394,0.646
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.24,0.151,0.596
Demi Lovato,Cool for the Summer,0.00441,0.0386,0.586
Taylor Swift,Blank Space,0.103,0.054,0.76
The Weeknd,The Hills,0.0671,0.0515,0.585
The Neighbourhood,Daddy Issues,0.0678,0.0329,0.588
Deorro,Five More Hours,0.0288,0.219,0.699
Avicii,The Nights,0.0166,0.0433,0.527
DJ Snake,You Know You Like It,0.0141,0.188,0.407
Adam Lambert,Ghost Town,0.186,0.046,0.703
Rae Sremmurd,No Type,0.0158,0.159,0.891
Taylor Swift,Bad Blood,0.0294,0.106,0.654
Flo Rida,GDFR (feat. Sage the Gemini & Lookas),0.000704,0.0734,0.657
Robin Schulz,Sugar (feat. Francesco Yates),0.0185,0.0581,0.636
Calvin Harris,How Deep Is Your Love,0.0392,0.0731,0.738
Philip George,Wish You Were Mine - Radio Edit,0.0126,0.0293,0.654
Trey Songz,Na Na,0.328,0.0406,0.67
Fall Out Boy,Centuries,0.00359,0.0729,0.393
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),0.0312,0.145,0.886
Lost Frequencies,Are You With Me - Radio Edit,0.466,0.0317,0.776
Twenty One Pilots,Stressed Out,0.0462,0.141,0.734
Fifth Harmony,Worth It (feat. Kid Ink),0.063,0.0882,0.884
KALEO,Way down We Go,0.612,0.0528,0.59
Sam Smith,Like I Can,0.343,0.0379,0.656
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,0.0375,0.0666,0.746
Martin Solveig,Intoxicated - New Radio Mix,0.00563,0.0393,0.8
Avicii,Waiting For Love,0.31,0.0527,0.579
Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),0.672,0.0311,0.778
Taylor Swift,Wildest Dreams,0.0709,0.0741,0.553
The Weeknd,In The Night,0.0696,0.13,0.48
Pitbull,Time of Our Lives,0.0921,0.0583,0.721
Galantis,Runaway (U & I),0.00711,0.0469,0.506
Rihanna,Bitch Better Have My Money,0.0509,0.0621,0.781
Zara Larsson,Lush Life,0.141,0.0536,0.658
One Direction,Drag Me Down,0.109,0.0369,0.73
Travis Scott,Antidote,0.00767,0.032,0.713
Years & Years,King,0.0665,0.0388,0.559
Demi Lovato,Confident,0.00188,0.0677,0.594
Lemaitre,Closer,0.0012,0.0337,0.583
Selena Gomez,Same Old Love,0.0223,0.0304,0.672
Pia Mia,Do It Again,0.0266,0.047,0.712
Flo Rida,My House,0.0215,0.0499,0.688
Silentó,Watch Me (Whip / Nae Nae),0.234,0.134,0.819
Chris Brown,Ayo,0.0399,0.0443,0.823
The Strumbellas,Spirits,0.164,0.0265,0.556
Fetty Wap,Trap Queen,0.0244,0.128,0.746
Tove Lo,Talking Body,0.0966,0.0338,0.736
Beyoncé,7/11,0.0128,0.126,0.747
Lana Del Rey,High By The Beach,0.244,0.0346,0.536
Zara Larsson,Never Forget You,0.00312,0.0457,0.583
Jeremih,oui,0.213,0.0964,0.418
Drake,Hotline Bling,0.00258,0.0551,0.891
Selena Gomez,Kill Em With Kindness,0.00795,0.0404,0.757
Birdy,Let It All Go,0.817,0.0302,0.383
Fetty Wap,679 (feat. Remy Boyz),0.00256,0.318,0.618
Ariana Grande,Love Me Harder,0.00937,0.0334,0.472
The Weeknd,Can't Feel My Face,0.113,0.0425,0.705
SAYGRACE,You Don't Own Me (feat. G-Eazy),0.166,0.102,0.336
X Ambassadors,Renegades,0.0144,0.0905,0.526
R. City,Locked Away (feat. Adam Levine),0.304,0.0678,0.509
Kygo,Stole the Show,0.271,0.226,0.64
Tame Impala,The Less I Know The Better,0.0115,0.0284,0.64
Selena Gomez,Good For You,0.154,0.0652,0.6
Fetty Wap,My Way (feat. Monty),0.00419,0.0531,0.748
Hozier,Take Me To Church,0.634,0.0464,0.566
Taylor Swift,Style,0.00245,0.0402,0.588
Alessia Cara,Here,0.0804,0.163,0.379
Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack",0.769,0.0339,0.261
David Guetta,Bang My Head (feat. Sia & Fetty Wap),0.0525,0.0789,0.599
Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),0.0242,0.203,0.589
Big Sean,I Don't Fuck With You,0.0362,0.0613,0.824
Kygo,Firestone,0.393,0.0428,0.704
Drake,Jumpman,0.0462,0.202,0.853
Petit Biscuit,Sunset Lover,0.729,0.0503,0.783
Shawn Mendes,Stitches,0.0152,0.0676,0.746
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",0.0242,0.141,0.854
Selena Gomez,The Heart Wants What It Wants,0.053,0.0377,0.616
Jack Ü,Where Are Ü Now (with Justin Bieber),0.041,0.0567,0.432
Ellie Goulding,On My Mind,0.264,0.0522,0.699
Bryson Tiller,Don't,0.223,0.195,0.765
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",0.0384,0.0496,0.676
Joel Adams,Please Don't Go,0.0118,0.0587,0.513
Zedd,I Want You To Know,0.00621,0.0659,0.561
Jonas Blue,Fast Car,0.484,0.052,0.644
BØRNS,Electric Love,0.00407,0.0889,0.373
Sigala,Easy Love,0.175,0.0631,0.68
Justin Bieber,Sorry,0.0797,0.045,0.654
Ariana Grande,One Last Time,0.093,0.0323,0.628
Little Mix,Black Magic,0.0352,0.0619,0.777
One Direction,Perfect,0.0598,0.0762,0.647
Years & Years,Shine,0.189,0.0349,0.667
Meghan Trainor,Lips Are Movin,0.0506,0.0464,0.775
Nicky Jam,El Perdón - Forgiveness,0.256,0.0357,0.736
The Weeknd,Starboy,0.165,0.282,0.681
Drake,One Dance,0.00776,0.0536,0.792
Justin Bieber,Love Yourself,0.835,0.438,0.609
The Chainsmokers,Closer,0.414,0.0338,0.748
Adele,Hello,0.329,0.0342,0.471
Desiigner,Panda,0.028,0.449,0.576
Burak Yeter,Tuesday (feat. Danelle Sandoval),0.0156,0.0688,0.841
Sia,Cheap Thrills (feat. Sean Paul),0.0561,0.215,0.592
OneRepublic,Wherever I Go,0.0915,0.0425,0.552
Rihanna,Work,0.0752,0.0946,0.725
Coldplay,Hymn for the Weekend,0.211,0.0377,0.491
Justin Bieber,Sorry,0.0797,0.045,0.654
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.0123,0.0751,0.666
WILLOW,Wait a Minute!,0.0371,0.0278,0.764
Desiigner,Tiimmy Turner,0.174,0.0393,0.603
G-Eazy,"Me, Myself & I",0.0184,0.0959,0.756
David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),0.0022,0.0488,0.367
Astrid S,Hurts So Good,0.082,0.049,0.672
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.255,0.317,0.502
Twenty One Pilots,Heathens,0.0841,0.0286,0.732
Future,Low Life (feat. The Weeknd),0.337,0.0726,0.722
Galantis,No Money,0.0282,0.0397,0.671
The Chainsmokers,Don't Let Me Down,0.157,0.172,0.532
Tinie Tempah,Girls Like (feat. Zara Larsson),0.37,0.049,0.916
Alok,Hear Me Now,0.537,0.0419,0.788
Jon Bellion,All Time Low,0.0584,0.0828,0.617
Cheat Codes,Sex,0.00451,0.171,0.51
Meghan Trainor,NO,0.0124,0.213,0.557
Dua Lipa,Hotter Than Hell,0.011,0.0908,0.532
Martin Garrix,In the Name of Love,0.109,0.0409,0.501
Alan Walker,Faded,0.0281,0.0476,0.468
Tove Lo,Cool Girl,0.343,0.111,0.674
DJ Snake,Let Me Love You,0.0863,0.0349,0.649
Calvin Harris,This Is What You Came For (feat. Rihanna),0.199,0.0332,0.631
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,0.0353,0.111,0.664
Kevin Gates,2 Phones,0.157,0.358,0.895
Rihanna,Needed Me,0.11,0.244,0.671
Ariana Grande,Side To Side,0.0408,0.247,0.648
Marshmello,Alone,0.0241,0.0343,0.631
Shawn Mendes,I Know What You Did Last Summer,0.102,0.0876,0.687
Selena Gomez,Same Old Love,0.0223,0.0304,0.672
Calvin Harris,My Way,0.093,0.0426,0.818
Fitz and The Tantrums,HandClap,0.00609,0.0427,0.636
Twenty One Pilots,Ride,0.00835,0.0393,0.645
Flo Rida,My House,0.0215,0.0499,0.688
Ariana Grande,Dangerous Woman,0.0612,0.0385,0.677
Anne-Marie,Alarm,0.0812,0.232,0.756
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),0.621,0.134,0.728
AlunaGeorge,I'm In Control,0.355,0.0346,0.734
Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),0.0858,0.103,0.716
MNEK,Never Forget You,0.00312,0.0457,0.583
Mike Perry,The Ocean (feat. Shy Martin),0.0225,0.029,0.632
Drake,Hotline Bling,0.00347,0.0587,0.903
Ariana Grande,Into You,0.0162,0.107,0.623
Shawn Mendes,Treat You Better,0.106,0.341,0.444
Tory Lanez,Say It,0.0862,0.0583,0.546
Coldplay,Adventure of a Lifetime,0.00205,0.036,0.638
Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners,0.0807,0.0383,0.79
SAYGRACE,You Don't Own Me (feat. G-Eazy),0.159,0.0898,0.332
X Ambassadors,Renegades,0.0144,0.0905,0.526
DNCE,Cake By The Ocean,0.152,0.0517,0.774
99 Souls,The Girl Is Mine,0.00423,0.0397,0.683
Illy,Papercuts (feat. Vera Blue),0.161,0.249,0.369
Kiiara,Gold,0.615,0.344,0.6
Kygo,Stole the Show,0.151,0.171,0.678
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),0.103,0.0432,0.803
Drake,Pop Style,0.192,0.123,0.713
ZAYN,PILLOWTALK,0.104,0.0496,0.588
Alessia Cara,Here,0.0783,0.104,0.376
DJ Snake,Middle,0.0199,0.0436,0.611
Sigala,Sweet Lovin' - Radio Edit,0.0553,0.0515,0.683
Drake,Jumpman,0.0559,0.187,0.852
Charlie Puth,Dangerously,0.364,0.0366,0.696
Nick Jonas,Close,0.253,0.082,0.654
Jonas Blue,Perfect Strangers,0.372,0.0487,0.742
Major Lazer,Cold Water (feat. Justin Bieber & MØ),0.0736,0.0432,0.608
The Chainsmokers,Roses,0.0435,0.0561,0.713
Tory Lanez,LUV,0.0118,0.114,0.688
P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",0.0114,0.148,0.632
Bryson Tiller,Don't,0.223,0.195,0.765
Steve Aoki,Just Hold On,0.00383,0.0824,0.647
Clean Bandit,Tears (feat. Louisa Johnson),0.0431,0.0446,0.605
Jonas Blue,Fast Car,0.453,0.0785,0.459
Flume,Never Be Like You,0.441,0.0624,0.443
Bastille,Good Grief,0.147,0.0653,0.73
Sia,The Greatest (feat. Kendrick Lamar),0.0102,0.266,0.668
PARTYNEXTDOOR,Not Nice,0.0253,0.0804,0.598
Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",0.687,0.3,0.492
Hilltop Hoods,1955,0.719,0.0695,0.766
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),0.023,0.053,0.689
Daya,"Sit Still, Look Pretty",0.141,0.274,0.657
Kent Jones,Don't Mind,0.0235,0.336,0.464
Flume,Say It,0.0731,0.0322,0.581
Bryson Tiller,Exchange,0.107,0.185,0.525
MØ,Final Song,0.014,0.0345,0.695
Beyoncé,Sorry,0.00175,0.0535,0.775
Little Mix,Shout Out to My Ex,0.0239,0.0889,0.773
The Lumineers,Ophelia,0.63,0.0286,0.664
Frank Ocean,Pink + White,0.67,0.0991,0.544
Drake,Too Good,0.0489,0.104,0.794
Ed Sheeran,Shape of You,0.581,0.0802,0.825
Sean Paul,No Lie,0.0466,0.117,0.742
Luis Fonsi,Despacito (Featuring Daddy Yankee),0.209,0.17,0.66
Sam Smith,Too Good At Goodbyes,0.64,0.0432,0.681
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.0523,0.72
Camila Cabello,Havana (feat. Young Thug),0.186,0.0312,0.768
Imagine Dragons,Thunder,0.00683,0.0479,0.6
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),0.343,0.0696,0.783
The Chainsmokers,Something Just Like This,0.0498,0.0317,0.617
Ed Sheeran,Perfect,0.163,0.0232,0.599
MGMT,Little Dark Age,0.0102,0.0385,0.705
Travis Scott,goosebumps,0.0847,0.0484,0.841
Billie Eilish,Bored,0.896,0.0478,0.614
Future,Mask Off,0.0102,0.431,0.833
G-Eazy,Him & I,0.0534,0.0868,0.589
Maroon 5,Cold (feat. Future),0.118,0.113,0.697
Rae Sremmurd,Swang,0.2,0.0581,0.681
Lil Peep,Save That Shit,0.0262,0.0288,0.534
A$AP Ferg,Plain Jane,0.0651,0.275,0.797
French Montana,Unforgettable,0.0293,0.123,0.726
21 Savage,Bank Account,0.015,0.35,0.884
Axwell /\ Ingrosso,More Than You Know,0.0323,0.0339,0.645
ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,0.102,0.0386,0.259
J Balvin,Mi Gente,0.0178,0.0914,0.548
Jax Jones,You Don't Know Me - Radio Edit,0.163,0.138,0.876
Rae Sremmurd,Black Beatles,0.142,0.0649,0.794
Zara Larsson,Ain't My Fault,0.00778,0.0296,0.576
Travis Scott,BUTTERFLY EFFECT,0.0714,0.0539,0.763
Ayo & Teo,Rolex,0.0837,0.04,0.804
Lil Uzi Vert,XO Tour Llif3,0.00264,0.231,0.732
Imagine Dragons,Whatever It Takes,0.0362,0.0311,0.672
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),0.0312,0.145,0.886
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.075,0.109,0.696
G-Eazy,No Limit,0.0117,0.244,0.838
Playboi Carti,Magnolia,0.0114,0.286,0.791
Chord Overstreet,Hold On,0.469,0.0526,0.618
Jax Jones,Breathe,0.0234,0.0363,0.722
Imagine Dragons,Believer,0.0524,0.108,0.779
Natti Natasha,Criminal,0.03,0.0561,0.814
Kendrick Lamar,HUMBLE.,0.000243,0.0903,0.906
Selena Gomez,Fetish (feat. Gucci Mane),0.0204,0.0592,0.708
Charlie Puth,Attention,0.0969,0.0432,0.774
Big Shaq,Man's Not Hot,0.111,0.236,0.905
Anne-Marie,Ciao Adios,0.127,0.0863,0.698
Rag'n'Bone Man,Human,0.393,0.302,0.602
blackbear,do re mi,0.00522,0.0526,0.745
Lil Pump,Gucci Gang,0.239,0.0597,0.936
Taylor Swift,Look What You Made Me Do,0.204,0.123,0.766
Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),0.0642,0.0537,0.688
Kodak Black,Tunnel Vision,0.0576,0.294,0.497
Kendrick Lamar,DNA.,0.00402,0.36,0.636
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),0.501,0.0568,0.839
XXXTENTACION,Jocelyn Flores,0.469,0.242,0.872
Migos,Bad and Boujee (feat. Lil Uzi Vert),0.0611,0.244,0.926
Yo Gotti,Rake It Up (feat. Nicki Minaj),0.022,0.344,0.91
Martin Garrix,Scared to Be Lonely,0.0895,0.0576,0.584
Jonas Blue,Mama,0.091,0.0418,0.739
Martin Jensen,Solo Dance,0.0435,0.0507,0.744
Taylor Swift,...Ready For It?,0.0527,0.136,0.613
David Guetta,2U (feat. Justin Bieber),0.219,0.0591,0.548
Migos,Slippery (feat. Gucci Mane),0.307,0.263,0.92
Shawn Mendes,There's Nothing Holdin' Me Back,0.381,0.0583,0.857
G-Eazy,Good Life (with G-Eazy & Kehlani),0.00638,0.233,0.572
The Vamps,All Night,0.0041,0.0358,0.538
Dua Lipa,New Rules,0.00261,0.0691,0.763
Cardi B,Bodak Yellow,0.0672,0.109,0.929
Rag'n'Bone Man,Skin,0.265,0.31,0.564
Zara Larsson,I Would Like,0.0853,0.0524,0.486
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),0.0329,0.0688,0.671
Post Malone,Congratulations,0.215,0.0363,0.63
Avicii,Without You (feat. Sandro Cavazza),0.00163,0.0428,0.662
Clean Bandit,Symphony (feat. Zara Larsson),0.281,0.043,0.718
Katy Perry,Chained To The Rhythm,0.0814,0.112,0.562
Zay Hilfigerrr,Juju on That Beat (TZ Anthem),0.00381,0.275,0.807
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.0642,0.0571,0.893
Migos,T-Shirt,0.242,0.217,0.865
OneRepublic,Rich Love (with Seeb),0.167,0.314,0.401
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,0.15,0.0291,0.703
Macklemore,Glorious (feat. Skylar Grey),0.0323,0.0522,0.731
Hayden James,NUMB,0.184,0.0431,0.617
Liam Payne,Strip That Down,0.246,0.0545,0.869
Drake,Passionfruit,0.256,0.0396,0.809
Justin Bieber,Friends (with BloodPop®),0.00459,0.0387,0.744
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0631,0.0585,0.735
Alessia Cara,Scars To Your Beautiful,0.0285,0.272,0.319
2 Chainz,It's A Vibe,0.0312,0.148,0.822
Starley,Call on Me - Ryan Riback Remix,0.0605,0.0362,0.67
AJR,Weak,0.137,0.0429,0.673
Lana Del Rey,Lust for Life (with The Weeknd),0.588,0.0582,0.499
CNCO,Reggaetón Lento (Remix),0.158,0.0758,0.623
The Vamps,Middle Of The Night,0.0037,0.058,0.588
The Weeknd,I Feel It Coming,0.428,0.118,0.773
The Chainsmokers,Paris,0.0215,0.0304,0.653
Big Sean,Bounce Back,0.106,0.139,0.78
Shawn Mendes,Mercy,0.118,0.0818,0.561
Avicii,Lonely Together (feat. Rita Ora),0.134,0.0612,0.655
Cheat Codes,No Promises (feat. Demi Lovato),0.0575,0.134,0.741
Bruno Mars,24K Magic,0.034,0.0797,0.818
Lorde,Homemade Dynamite - REMIX,0.229,0.0764,0.781
Kygo,It Ain't Me (with Selena Gomez),0.119,0.0706,0.64
Drake,God's Plan,0.0332,0.109,0.754
Post Malone,rockstar (feat. 21 Savage),0.124,0.0712,0.585
Offset,Ric Flair Drip (with Metro Boomin),0.149,0.206,0.88
G-Eazy,Him & I (with Halsey),0.0534,0.0868,0.589
Dynoro,In My Mind,0.176,0.149,0.694
Juice WRLD,Lucid Dreams,0.349,0.2,0.511
Zedd,The Middle,0.171,0.0449,0.753
Marshmello,FRIENDS,0.205,0.0504,0.626
Cardi B,I Like It,0.099,0.129,0.816
XXXTENTACION,Moonlight,0.556,0.0804,0.921
Ariana Grande,no tears left to cry,0.04,0.0594,0.699
Sheck Wes,Mo Bamba,0.194,0.0315,0.729
Calvin Harris,One Kiss (with Dua Lipa),0.037,0.11,0.791
Tyga,Taste (feat. Offset),0.0236,0.12,0.884
Travis Scott,SICKO MODE,0.00513,0.222,0.834
Imagine Dragons,Natural,0.217,0.0409,0.704
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.157,0.228,0.842
Marshmello,Spotlight,0.0145,0.151,0.546
The Weeknd,Pray For Me (with Kendrick Lamar),0.0762,0.093,0.735
Billie Eilish,lovely (with Khalid),0.934,0.0333,0.351
Migos,Walk It Talk It,0.0876,0.184,0.907
Clean Bandit,Solo (feat. Demi Lovato),0.0441,0.0437,0.737
Drake,Nonstop,0.0165,0.123,0.912
6ix9ine,FEFE,0.088,0.412,0.931
The Weeknd,Call Out My Name,0.17,0.0356,0.461
Nio Garcia,Te Boté - Remix,0.542,0.214,0.903
Migos,MotorSport,0.0305,0.183,0.904
Nicky Jam,X,0.0338,0.056,0.594
XXXTENTACION,SAD!,0.258,0.145,0.74
