BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
,House for sale,729900,3,2.0,1150.0,"Staten Island, NY 10309","447 Vernon AveStaten Island, NY 10309",,New York,Richmond County
Brokered by Winzone Realty Inc,House for sale,1880000,3,4.0,3150.0,"Brooklyn, NY 11224","3758 Bayview AveBrooklyn, NY 11224",United States,New York,Kings County
,Co-op for sale,449000,2,2.0,1549.0,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",New York,Queens County,Queens
,House for sale,1175000,3,2.0,2250.0,"Rockaway Park, NY 11694","251 Beach 140th StRockaway Park, NY 11694",United States,New York,Queens County
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,2750000,3,2.0,2184.207862,"New York, NY 10014","16 Gay StNew York, NY 10014",United States,New York,New York County
,House for sale,995000,3,2.0,2184.207862,"Howard Beach, NY 11414","159-03 83rd StHoward Beach, NY 11414",United States,New York,Queens County
,Condo for sale,2000000,3,2.0,2000.0,"Manhattan, NY 10280","200 Rector Pl Unit 27EFManhattan, NY 10280",New York County,New York,Manhattan
,Townhouse for sale,15000000,8,6.0,2184.207862,"Brooklyn, NY 11201","126 Pierrepont StBrooklyn, NY 11201",,New York,Kings County
,House for sale,2800000,4,6.0,8333.0,"Staten Island, NY 10304","25 Copperleaf TerStaten Island, NY 10304",,New York,Richmond County
,House for sale,2600000,5,4.0,3024.0,"Bayside, NY 11360","214-42 27th AveBayside, NY 11360",,New York,Queens County
Brokered by Corcoran West Side,Townhouse for sale,3500000,6,6.0,6000.0,"New York, NY 10031","51 Hamilton TerNew York, NY 10031",United States,New York,New York County
,Co-op for sale,550000,1,1.0,2184.207862,"New York, NY 10024","609 Columbus Ave Apt 10INew York, NY 10024",,New York County,New York
Brokered by E House Realty & Mgt. Inc.,Pending,769000,3,4.0,2184.207862,"Staten Island, NY 10303","290 Lake AveStaten Island, NY 10303",,New York,Richmond County
Brokered by TALK OF THE TOWN REALTY C,House for sale,675000,3,2.0,2400.0,"Brooklyn, NY 11234","2519 Mill AveBrooklyn, NY 11234",,New York,Kings County
