BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
Brokered by Keller Williams Rlty Landmark,House for sale,880000,3,2.0,1743.0,"Flushing, NY 11358","190-16 33rd AveFlushing, NY 11358",United States,New York,Queens County
,Townhouse for sale,39995000,4,2.3738608579684373,10582.0,"Manhattan, NY 10013","145 Reade StManhattan, NY 10013",United States,New York,New York County
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,1250000,8,2.3738608579684373,2184.207862,"New York, NY 10022","246 E 58th St # ThNew York, NY 10022",,New York,New York County
,Contingent,899999,3,2.0,1784.0,"Staten Island, NY 10306","61 Prescott AveStaten Island, NY 10306",United States,New York,Richmond County
,Condo for sale,198000,1,1.0,750.0,"Queens, NY 11415","118-18 Union Tpke Unit 7DQueens, NY 11415",,Queens County,Queens
,House for sale,549000,5,3.0,496.0,"Bronx, NY 10469","2808 Wickham AveBronx, NY 10469",United States,New York,Bronx County
Brokered by RE MAX Elite,House for sale,1088888,3,4.0,1320.0,"Brooklyn, NY 11204","1568 W 2nd StBrooklyn, NY 11204",,New York,Kings County
Brokered by CAROZZA NICHOLAS M,House for sale,888000,4,2.0,2686.0,"Bronx, NY 10465","3079 Giegerich PlBronx, NY 10465",,New York,Bronx County
,For sale,65000,3,1.0,230.0,"Manhattan, NY 10038","1287266 45 Madison St Unit 1Manhattan, NY 10038",New York,New York County,New York
,House for sale,1449999,3,2.0,2184.207862,"Long Island City, NY 11105","21-89 47th StLong Island City, NY 11105",United States,New York,Queens County
,Townhouse for sale,14900000,5,5.0,2184.207862,"New York, NY 10023","45 W 70th StNew York, NY 10023",United States,New York,New York County
Brokered by Flateau Realty Corp,Coming Soon,1695000,5,2.0,2250.0,"Ny, NY 11221","871 Putnam AveNy, NY 11221",United States,New York,Kings County
,House for sale,2499000,5,2.3738608579684373,4100.0,"Forest Hills, NY 11375","152 Whitson StForest Hills, NY 11375",United States,New York,Queens County
,Townhouse for sale,1970000,4,4.0,2508.0,"Brooklyn, NY 11201","59 Duffield StBrooklyn, NY 11201",,New York,Kings County
,Co-op for sale,1895000,2,2.0,2184.207862,"Brooklyn, NY 11215","905 Union St Apt 1Brooklyn, NY 11215",,Kings County,Brooklyn
Brokered by DiTommaso Real Estate,House for sale,689000,3,2.3738608579684373,1248.0,"Staten Island, NY 10314","46 Kirshon AveStaten Island, NY 10314",United States,New York,Richmond County
,House for sale,649999,3,2.0,1440.0,"Staten Island, NY 10305","219 Slater BlvdStaten Island, NY 10305",United States,New York,Richmond County
,House for sale,669000,3,2.0,864.0,"Staten Island, NY 10304","74 Holly StStaten Island, NY 10304",United States,New York,Richmond County
,House for sale,800000,3,2.0,825.0,"Brooklyn, NY 11234","1485 E 53rd StBrooklyn, NY 11234",,New York,Kings County
,Co-op for sale,2375000,1,2.0,2184.207862,"Manhattan, NY 10012","10 Bleecker St Apt 5DManhattan, NY 10012",,New York County,New York
,For sale,2400000,6,6.0,6688.0,"Brooklyn, NY 11216","726 Nostrand AveBrooklyn, NY 11216",United States,New York,Kings County
Brokered by eXp Realty BKNY,House for sale,390000,2,1.0,586.0,"Staten Island, NY 10306","231 Freeborn StStaten Island, NY 10306",,New York,Richmond County
,Condo for sale,2250000,1,1.0,2184.207862,"Manhattan, NY 10014","302 W 12th St Apt 7FManhattan, NY 10014",New York,New York County,New York
Brokered by RE MAX Edge,House for sale,1450000,4,2.3738608579684373,2700.0,"Staten Island, NY 10312","308 Poillon AveStaten Island, NY 10312",,New York,Richmond County
Brokered by ROCKAWAY PROPERTIES,Condo for sale,725000,2,2.0,792.0,"Brooklyn, NY 11207","627 Wilson Ave Apt 3Brooklyn, NY 11207",,Kings County,Brooklyn
,Co-op for sale,269000,1,1.0,2184.207862,"Bronx, NY 10471","4901 Henry Hudson Pkwy W Apt 5FBronx, NY 10471",,Bronx County,The Bronx
Brokered by COMPASS,Co-op for sale,695000,2,2.0,2184.207862,"Manhattan, NY 10065","575 Park Ave Unit 1101Manhattan, NY 10065",New York,New York County,New York
,House for sale,1300000,3,2.0,2184.207862,"Bronx, NY 10473","246 Newman AveBronx, NY 10473",,New York,Bronx County
Brokered by Ilite Realty Inc,Co-op for sale,459000,3,2.0,1250.0,"Brooklyn, NY 11214","2475 W 16th St Apt 19HBrooklyn, NY 11214",,New York,Kings County
,House for sale,689999,3,2.0,1008.0,"Staten Island, NY 10302","596 College AveStaten Island, NY 10302",,New York,Richmond County
Brokered by Winzone Realty Inc,Co-op for sale,425000,3,2.0,1405.0,"Corona, NY 11368","58-03 Calloway St Unit 2P2Corona, NY 11368",,New York,Queens County
,House for sale,10000000,5,4.0,6800.0,"New York, NY 10065","166 E 64th StNew York, NY 10065",,New York,New York County
Brokered by Byson Real Estate Company - Byson Real Estate Company,Co-op for sale,1525000,2,2.0,2184.207862,"New York, NY 10024","67 Riverside Dr Apt 1CNew York, NY 10024",,New York County,New York
,Multi-family home for sale,1499000,9,6.0,3519.0,"Brooklyn, NY 11223","2619 Shore PkwyBrooklyn, NY 11223",,New York,Kings County
,Co-op for sale,695000,2,2.0,2184.207862,"Manhattan, NY 10065","575 Park Ave Unit 1101Manhattan, NY 10065",,New York County,New York
,House for sale,1300000,3,2.0,2184.207862,"Bronx, NY 10473","246 Newman AveBronx, NY 10473",,New York,Bronx County
,Co-op for sale,269000,1,1.0,2184.207862,"Bronx, NY 10471","4901 Henry Hudson Pkwy W Apt 5FBronx, NY 10471",New York,Bronx County,The Bronx
,Co-op for sale,425000,3,2.0,1405.0,"Corona, NY 11368","58-03 Calloway St Unit 2P2Corona, NY 11368",,New York,Queens County
,Multi-family home for sale,1499000,9,6.0,3519.0,"Brooklyn, NY 11223","2619 Shore PkwyBrooklyn, NY 11223",United States,New York,Kings County
,House for sale,519000,3,2.0,1480.0,"Staten Island, NY 10314","62 Simmons LnStaten Island, NY 10314",United States,New York,Richmond County
Brokered by Queens Quality Management,Co-op for sale,358000,2,1.0,2184.207862,"Bayside, NY 11360","212-79 16 Ave Unit 183Bayside, NY 11360",New York,Queens County,Queens
,Co-op for sale,975000,3,1.0,2184.207862,"Manhattan, NY 10011","360 W 22nd St Apt 9JManhattan, NY 10011",New York,New York County,New York
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,29200000,12,10.0,11638.0,"New York, NY 10016","123 E 35th StNew York, NY 10016",United States,New York,New York County
,Co-op for sale,498000,2,1.0,975.0,"Brooklyn, NY 11209","138 71st St Apt E10Brooklyn, NY 11209",,Kings County,Brooklyn
,Co-op for sale,385000,1,2.0,900.0,"Bayside, NY 11360","1805 215th St Apt 4SBayside, NY 11360",,Queens County,Queens
,Multi-family home for sale,999000,6,2.0,3144.0,"Bronx, NY 10462","851 Van Nest AveBronx, NY 10462",,New York,Bronx County
,Co-op for sale,399000,1,1.0,2184.207862,"Jackson Heights, NY 11372","34-41 85th St Unit 3UJackson Heights, NY 11372",New York,Queens County,Queens
,Contingent,599000,4,4.0,2800.0,"Staten Island, NY 10308","77 Harbour CtStaten Island, NY 10308",,New York,Richmond County
,House for sale,829888,4,2.3738608579684373,1800.0,"Staten Island, NY 10309","70 Savo LoopStaten Island, NY 10309",,United States,New York
,Townhouse for sale,699998,3,2.0,1548.0,"Staten Island, NY 10314","159 Freedom AveStaten Island, NY 10314",,New York,Richmond County
,Co-op for sale,1088000,5,2.0,2184.207862,"Forest Hills, NY 11375","20 Continental Ave Unit 5EFForest Hills, NY 11375",,Queens County,Queens
,House for sale,999000,6,2.0,1280.0,"Bronx, NY 10475","3426 Boller AveBronx, NY 10475",,New York,Bronx County
Brokered by New York Realty Minimax,Multi-family home for sale,1188888,15,9.0,2184.207862,"Ridgewood, NY 11385","677 Grandview AveRidgewood, NY 11385",United States,NaN,Queens County
Brokered by NextHome Residential,Co-op for sale,265000,1,1.0,700.0,"Bayside, NY 11360","23-45 Bell Blvd Unit 5KBayside, NY 11360",,Queens County,Queens
,Co-op for sale,288000,1,1.0,845.0,"Brooklyn, NY 11235","3901 Nostrand Ave Apt 4CBrooklyn, NY 11235",New York,Kings County,Brooklyn
,Co-op for sale,999995,3,2.0,1750.0,"Manhattan, NY 10065","205 E 63rd St Unit 11EFManhattan, NY 10065",,New York County,New York
,Co-op for sale,1495000,2,2.0,1350.0,"New York, NY 10021","200 E 74th St Apt 6BNew York, NY 10021",New York,New York County,New York
,Co-op for sale,925000,1,1.0,1000.0,"New York, NY 10021","235 E 73rd St # 4BNew York, NY 10021",,New York County,New York
,Co-op for sale,349000,2,1.0,2184.207862,"Kew Gardens, NY 11415","84-70 129 St N Unit 5UKew Gardens, NY 11415",New York,Queens County,Queens
,Condo for sale,2000000,4,4.0,3000.0,"New York, NY 10022","444 E 57th St Apt 2DNew York, NY 10022",New York,New York County,New York
,Condo for sale,839000,3,2.0,1376.0,"Brooklyn, NY 11214","8895 26th Ave Apt 5ABrooklyn, NY 11214",,New York,Kings County
,Co-op for sale,329000,1,1.0,820.0,"Forest Hills, NY 11375","111-39 76th Rd Unit E6Forest Hills, NY 11375",New York,Queens County,Queens
Brokered by Keller Williams Hudson Valley,Multi-family home for sale,899000,6,3.0,3683.0,"Bronx, NY 10469","948 E 217th StBronx, NY 10469",United States,New York,Bronx County
,House for sale,615000,3,2.0,2184.207862,"Brownville, NY 11212","534 Powell StBrownville, NY 11212",,New York,Kings County
,Condo for sale,800000,2,2.0,1257.0,"New York, NY 10029","309 E 108th St Apt 5FNew York, NY 10029",,New York County,New York
,Condo for sale,430000,2,2.0,1248.0,"Staten Island, NY 10314","527 Willow Rd E Unit 2Staten Island, NY 10314",,Richmond County,Staten Island
Brokered by Jessica Viola,Contingent,499000,3,2.0,1288.0,"Staten Island, NY 10314","625 Goethals Rd NStaten Island, NY 10314",United States,New York,Richmond County
,Co-op for sale,439500,3,2.0,1400.0,"Kew Gardens, NY 11415","83-80 118th St Unit 3OKew Gardens, NY 11415",,Queens County,Queens
Brokered by Prime Properties Long Island,Co-op for sale,299000,1,1.0,2184.207862,"Kew Gardens, NY 11415","118-18 Union Tpke Unit 17GKew Gardens, NY 11415",New York,Queens County,Queens
,House for sale,2580000,8,2.3738608579684373,6493.0,"Staten Island, NY 10304","60 Lyman PlStaten Island, NY 10304",,New York,Richmond County
Brokered by RE MAX Distinguished Homes & Properties,Condo for sale,200000,1,1.0,613.0,"Bronx, NY 10462","1700 Metropolitan Ave Apt MhBronx, NY 10462",,New York,Bronx County
,Co-op for sale,425000,3,1.0,2184.207862,"New York, NY 10031","504 W 135th St Apt 1BNew York, NY 10031",,New York County,New York
Brokered by BESMATCH REAL ESTATE,Co-op for sale,69000,1,1.0,850.0,"Bronx, NY 10452","1185 Anderson Ave Apt 2EBronx, NY 10452",,Bronx County,The Bronx
,Condo for sale,1995000,3,2.0,1546.0,"New York, NY 10025","272 W 107th St Apt 8DNew York, NY 10025",,New York County,New York
,Co-op for sale,430000,2,2.0,2184.207862,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",,Queens County,Queens
Brokered by COMPASS,Co-op for sale,230000,1,1.0,620.0,"Manhattan, NY 10025","255 W 108th St Apt 1FManhattan, NY 10025",,New York County,New York
,Co-op for sale,220000,1,1.0,590.0,"Briarwood, NY 11435","82-35 134th St Unit 2DBriarwood, NY 11435",,Queens County,Queens
,Co-op for sale,198000,3,1.0,2184.207862,"Flushing, NY 11355","42-40 Bowne St Unit 6FFlushing, NY 11355",,Queens County,Queens
,Co-op for sale,1495000,1,2.0,2184.207862,"Manhattan, NY 10010","48 Gramercy Park N Apt 1BManhattan, NY 10010",,New York County,New York
,Co-op for sale,475000,1,1.0,615.0,"New York, NY 10128","520 E 90th St Apt 1LNew York, NY 10128",,New York County,New York
,Co-op for sale,199900,2,1.0,2184.207862,"Rosedale, NY 11422","234-04 131 Ave Unit 2Rosedale, NY 11422",New York,Queens County,Queens
,House for sale,1150000,2,2.0,1444.0,"Staten Island, NY 10304","91 Flagg CtStaten Island, NY 10304",,New York,Richmond County
,House for sale,1575000,3,2.0,2184.207862,"Brooklyn, NY 11215","530 4th StBrooklyn, NY 11215",United States,New York,Kings County
,Co-op for sale,229000,1,1.0,2184.207862,"Jackson Heights, NY 11372","33-05 92nd St Unit 1BJackson Heights, NY 11372",,Queens County,Queens
,For sale,2700000,8,4.0,2184.207862,"Brooklyn, NY 11205","122 Willoughby AveBrooklyn, NY 11205",United States,New York,Kings County
,Condo for sale,320000,2,2.0,936.0,"Bronx, NY 10473","1860 Story Ave Unit 36CBronx, NY 10473",New York,Bronx County,The Bronx
Brokered by RE MAX Edge,Co-op for sale,295000,2,1.0,700.0,"Brooklyn, NY 11230","1275 E 5th St Apt 6ABrooklyn, NY 11230",New York,Kings County,Brooklyn
,House for sale,550000,3,2.0,2184.207862,"Brooklyn, NY 11203","4211 Snyder AveBrooklyn, NY 11203",,New York,Kings County
,Condo for sale,285000,2,1.0,1000.0,"Bronx, NY 10462","1439 Metropolitan Ave Apt 6ABronx, NY 10462",New York,Bronx County,The Bronx
,Co-op for sale,328000,1,1.0,800.0,"Elmhurst, NY 11373","83-30 Vietor Ave Unit 414Elmhurst, NY 11373",,Queens County,Queens
,Multi-family home for sale,1388000,4,3.0,2184.207862,"Flushing, NY 11358","25-02 169th StFlushing, NY 11358",United States,New York,Queens County
Brokered by EXP Realty,Multi-family home for sale,3000000,10,10.0,2184.207862,"Brooklyn Heights, NY 11201","120 Pierrepont StBrooklyn Heights, NY 11201",United States,New York,Kings County
,Multi-family home for sale,2198888,7,6.0,2184.207862,"Ridgewood, NY 11385","662 Seneca AveRidgewood, NY 11385",,New York,Queens County
Brokered by Howard Hanna | Rand Realty,Multi-family home for sale,650000,6,2.0,2310.0,"Bronx, NY 10473","936 Taylor AveBronx, NY 10473",,New York,Bronx County
,Condo for sale,1100000,1,2.0,890.0,"New York, NY 10036","247 W 46th St Apt 1506New York, NY 10036",,New York County,New York
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4.0,4050.0,"Brooklyn, NY 11216","282 Macon StBrooklyn, NY 11216",,New York,Kings County
,Co-op for sale,849000,2,1.0,800.0,"Brooklyn, NY 11215","299 13th St Apt 3DBrooklyn, NY 11215",New York,Kings County,Brooklyn
,For sale,6500000,2,2.0,2184.207862,"New York, NY 10028","995 Fifth Ave Apt 11NNew York, NY 10028",New York,New York County,New York
,Co-op for sale,0,3,1.0,550.0,"New York, NY 10023","165 W End Ave Apt 16CNew York, NY 10023",,New York County,New York
,Condo for sale,1100000,1,2.0,890.0,"New York, NY 10036","247 W 46th St Apt 1506New York, NY 10036",New York,New York County,New York
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4.0,4050.0,"Brooklyn, NY 11216","282 Macon StBrooklyn, NY 11216",United States,New York,Kings County
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1.0,800.0,"Brooklyn, NY 11215","299 13th St Apt 3DBrooklyn, NY 11215",,Kings County,Brooklyn
Brokered by RE MAX Elite,Co-op for sale,418888,2,1.0,900.0,"Brooklyn, NY 11219","946 59th St Apt 4BBrooklyn, NY 11219",,-,Brooklyn
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2600000,3,3.0,3978.0,"Brooklyn, NY 11228","99 Bay 11th StBrooklyn, NY 11228",,New York,Kings County
Brokered by Velez Realty Corp,Multi-family home for sale,899000,8,2.0,2160.0,"Bronx, NY 10469","3214 Seymour AveBronx, NY 10469",United States,New York,Bronx County
,Multi-family home for sale,979000,8,3.0,2860.0,"Brooklyn, NY 11212","309 E 96th StBrooklyn, NY 11212",United States,New York,Kings County
,Co-op for sale,199000,1,1.0,2184.207862,"Forest Hills, NY 11375","67-38 108 St Unit D5Forest Hills, NY 11375",New York,Queens County,Queens
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,815000,3,1.0,2184.207862,"New York, NY 10017","310 E 46th St Apt 6SNew York, NY 10017",,New York County,New York
,Condo for sale,1025000,1,1.0,800.0,"New York, NY 10075","460 E 79th St Apt 9FNew York, NY 10075",New York,New York County,New York
,Condo for sale,1375000,1,2.0,920.0,"Manhattan, NY 10065","188 E 64th St Apt 802Manhattan, NY 10065",,New York County,New York
Brokered by Keller Williams NYC,Condo for sale,875000,3,2.0,1437.0,"New York, NY 10033","105 Bennett Ave Apt 21ANew York, NY 10033",New York,New York County,New York
,Multi-family home for sale,1350000,6,3.0,3000.0,"Brooklyn, NY 11235","2535 E 24th StBrooklyn, NY 11235",,New York,Kings County
Brokered by Corcoran Williamsburg Bedford,For sale,989000,7,3.0,2184.207862,"Brooklyn, NY 11236","1408 Remsen AveBrooklyn, NY 11236",,New York,Kings County
,Multi-family home for sale,815156,4,4.0,2945.0,"Staten Island, NY 10310","156 Davis AveStaten Island, NY 10310",,-,Richmond County
,Multi-family home for sale,1949000,3,5.0,2560.0,"Brooklyn, NY 11235","11 Brighton 10th PathBrooklyn, NY 11235",United States,New York,Kings County
,Multi-family home for sale,669000,5,2.0,1893.0,"Far Rockaway, NY 11691","418 Beach 37th StFar Rockaway, NY 11691",,New York,Queens County
,Multi-family home for sale,900500,4,2.0,2184.207862,"Brooklyn, NY 11236","10716 Avenue JBrooklyn, NY 11236",United States,New York,Kings County
"Brokered by CLAS - Classic Marketing, LLC",Co-op for sale,1465000,3,3.0,2184.207862,"New York, NY 10021","215 E 73rd St Unit 4ANew York, NY 10021",,New York County,New York
,For sale,899000,3,1.0,1100.0,"New York, NY 10036","529 W 42nd St Apt 2GNew York, NY 10036",New York,New York County,New York
,Condo for sale,1100000,1,1.0,726.0,"Manhattan, NY 10006","88 Greenwich St Apt 2307Manhattan, NY 10006",New York,New York County,New York
,Multi-family home for sale,1199000,6,5.0,2184.207862,"Howard Beach, NY 11414","151-42 82nd StHoward Beach, NY 11414",,New York,Queens County
,For sale,325000,2,1.0,2184.207862,"New York, NY 10025","12 W 107th St Apt 2BNew York, NY 10025",New York,New York County,New York
,Multi-family home for sale,599000,4,3.0,1176.0,"Staten Island, NY 10303","3100 Richmond TerStaten Island, NY 10303",,United States,New York
Brokered by New York Realty Minimax,Multi-family home for sale,1230000,4,3.0,2184.207862,"Ridgewood, NY 11385","74-06 64th LnRidgewood, NY 11385",,New York,Queens County
,Co-op for sale,3950000,3,3.0,2184.207862,"Manhattan, NY 10022","2 Sutton Pl S Apt 19FManhattan, NY 10022",New York,New York County,New York
,House for sale,2147483647,7,6.0,10000.0,"New York, NY 10309","6659-6675 Amboy RdNew York, NY 10309",United States,New York,Richmond County
,Multi-family home for sale,1350000,10,5.0,3383.0,"Brooklyn, NY 11208","188 Richmond StBrooklyn, NY 11208",United States,New York,Kings County
,House for sale,799000,5,3.0,1800.0,"Brooklyn, NY 11234","1124 E 51st StBrooklyn, NY 11234",United States,New York,Kings County
,House for sale,1599000,5,3.0,5600.0,"Staten Island, NY 10304","1233 Todt Hill RdStaten Island, NY 10304",United States,New York,Richmond County
,House for sale,1299900,4,4.0,2755.0,"Staten Island, NY 10307","346 George StStaten Island, NY 10307",,New York,Richmond County
,Co-op for sale,370000,1,1.0,2184.207862,"Brooklyn, NY 11201","100 Remsen St Apt 3FBrooklyn, NY 11201",,Kings County,Brooklyn
,For sale,3225,3,1.0,2184.207862,"New York, NY 10032","635 W 170th St Apt 2CNew York, NY 10032",,New York County,New York
,Co-op for sale,3649000,3,2.0,2184.207862,"New York, NY 10001","11 W 30th St Apt 11FNew York, NY 10001",New York,New York County,New York
